original_genome_id	old_speceis_names	speceis_names_fig2
yHMPu5000034670_blastobotrys_proliferans_160519	yHMPu5000034670_Blastobotrys_proliferans	Blastobotrys_proliferans
yHMPu5000034671_blastobotrys_peoriensis_160519	yHMPu5000034671_Blastobotrys_peoriensis	Blastobotrys_peoriensis
yHMPu5000034748_lipomyces_oligophaga_160519	yHMPu5000034748_Lipomyces_oligophaga	Lipomyces_oligophaga
lipomyces_starkeyi	Lipomyces_starkeyi	Lipomyces_starkeyi
yHMPu5000034742_lipomyces_suomiensis_160519	yHMPu5000034742_Lipomyces_suomiensis	Lipomyces_suomiensis
yHMPu5000034757_lipomyces_doorenjongii_160519	yHMPu5000034757_Lipomyces_doorenjongii	Lipomyces_doorenjongii
yHMPu5000034749_lipomyces_mesembrius_160519	yHMPu5000034749_Lipomyces_mesembrius	Lipomyces_mesembrius
yHMPu5000034760_lipomyces_kononenkoae_160519	yHMPu5000034760_Lipomyces_kononenkoae	Lipomyces_kononenkoae
yHMPu5000034758_lipomyces_japonicus_160519	yHMPu5000034758_Lipomyces_japonicus	Lipomyces_japonicus
yHMPu5000034761_lipomyces_lipofer_160519	yHMPu5000034761_Lipomyces_lipofer	Lipomyces_lipofer
yHMPu5000034754_lipomyces_arxii_160519	yHMPu5000034754_Lipomyces_arxii	Lipomyces_arxii
yHMPu5000034655_botryozyma_nematodophila_160519	yHMPu5000034655_Botryozyma_nematodophila	Botryozyma_nematodophila
tortispora_caseinolytica	Tortispora_caseinolytica	Tortispora_caseinolytica
yHMPu5000035654_tortispora_ganteri_160519	yHMPu5000035654_Tortispora_ganteri	Tortispora_ganteri
yHMPu5000035279_tortispora_starmeri_160928	yHMPu5000035279_Tortispora_starmeri	Tortispora_starmeri
yHMPu5000035650_trigonopsis_variabilis_160613	yHMPu5000035650_Trigonopsis_variabilis	Trigonopsis_variabilis
yHMPu5000035282_trigonopsis_vinaria_160928	yHMPu5000035282_Trigonopsis_vinaria	Trigonopsis_vinaria
ascoidea_asiatica	Ascoidea_asiatica	Ascoidea_asiatica
ascoidea_rubescens	Ascoidea_rubescens	Ascoidea_rubescens
saccharomycopsis_malanga	Saccharomycopsis_malanga	Saccharomycopsis_malanga
yHMPu5000034607_saccharomycopsis_capsularis_160519	yHMPu5000034607_Saccharomycopsis_capsularis	Saccharomycopsis_capsularis
candida_sorboxylosa	Candida_sorboxylosa	Candida_sorboxylosa
komagataella_pastoris	Komagataella_pastoris	Komagataella_pastoris
yHMPu5000035048_barnettozyma_salicaria_160519	yHMPu5000035048_Barnettozyma_salicaria	Barnettozyma_salicaria
yHMPu5000035044_barnettozyma_californica_160519	yHMPu5000035044_Barnettozyma_californica	Barnettozyma_californica
yHMPu5000035046_barnettozyma_populi_160613	yHMPu5000035046_Barnettozyma_populi	Barnettozyma_populi
yHMPu5000035689_candida_mycetangii_160613	yHMPu5000035689_Candida_mycetangii	Candida_mycetangii
yHMPu5000035690_candida_vartiovaarae_160613	yHMPu5000035690_Candida_vartiovaarae	Candida_vartiovaarae
yHMPu5000035673_candida_orba_160613	yHMPu5000035673_Candida_orba	Candida_orba
yHMPu5000034597_candida_stellimalicola_160519	yHMPu5000034597_Candida_stellimalicola	Candida_stellimalicola
cyberlindnera_fabianii_JCM3601	Cyberlindnera_fabianii_JCM3601	Cyberlindnera_fabianii
cyberlindnera_jadinii	Cyberlindnera_jadinii	Cyberlindnera_jadinii
yHMPu5000035703_cyberlindnera_americana_160613	yHMPu5000035703_Cyberlindnera_americana	Cyberlindnera_americana
yHMPu5000026274_komagataella_populi_160519	yHMPu5000026274_Komagataella_populi	Komagataella_populi
yHMPu5000034939_komagataella_pseudopastoris_160519	yHMPu5000034939_Komagataella_pseudopastoris	Komagataella_pseudopastoris
yHMPu5000035672_phaffomyces_thermotolerans_160613	yHMPu5000035672_Phaffomyces_thermotolerans	Phaffomyces_thermotolerans
yHMPu5000035671_phaffomyces_antillensis_160613	yHMPu5000035671_Phaffomyces_antillensis	Phaffomyces_antillensis
yHMPu5000035670_phaffomyces_opuntiae_160613	yHMPu5000035670_Phaffomyces_opuntiae	Phaffomyces_opuntiae
yHMPu5000034594_starmera_quercuum_160519	yHMPu5000034594_Starmera_quercuum	Starmera_quercuum
yHMPu5000035658_starmera_amethionina_160613	yHMPu5000035658_Starmera_amethionina	Starmera_amethionina
wickerhamomyces_anomalus	Wickerhamomyces_anomalus	Wickerhamomyces_anomalus
yHMPu5000035268_wickerhamomyces_hampshirensis_160928	yHMPu5000035268_Wickerhamomyces_hampshirensis	Wickerhamomyces_hampshirensis
yHMPu5000035639_wickerhamomyces_canadensis_160613	yHMPu5000035639_Wickerhamomyces_canadensis	Wickerhamomyces_canadensis
wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii	Wickerhamomyces_ciferrii
yHMPu5000035261_candida_ponderosae_160928	yHMPu5000035261_Candida_ponderosae	Candida_ponderosae
yHMPu5000035047_barnettozyma_pratensis_160519	yHMPu5000035047_Barnettozyma_pratensis	Barnettozyma_pratensis
yHMPu5000035045_barnettozyma_hawaiiensis_160613	yHMPu5000035045_Barnettozyma_hawaiiensis	Barnettozyma_hawaiiensis
yHMPu5000035686_cyberlindnera_saturnus_160519	yHMPu5000035686_Cyberlindnera_saturnus	Cyberlindnera_saturnus
yHMPu5000034978_cyberlindnera_mrakii_160519	yHMPu5000034978_Cyberlindnera_mrakii	Cyberlindnera_mrakii
yHMPu5000035688_cyberlindnera_xylosilytica_160519	yHMPu5000035688_Cyberlindnera_xylosilytica	Cyberlindnera_xylosilytica
yHMPu5000035325_cyberlindnera_petersonii_160928	yHMPu5000035325_Cyberlindnera_petersonii	Cyberlindnera_petersonii
yHMPu5000035687_cyberlindnera_suaveolens_160613	yHMPu5000035687_Cyberlindnera_suaveolens	Cyberlindnera_suaveolens
yHMPu5000034979_cyberlindnera_misumaiensis_160519	yHMPu5000034979_Cyberlindnera_misumaiensis	Cyberlindnera_misumaiensis
yHMPu5000035699_cyberlindnera_maclurae_160613	yHMPu5000035699_Cyberlindnera_maclurae	Cyberlindnera_maclurae
yHMPu5000035271_wickerhamomyces_bovis_160928	yHMPu5000035271_Wickerhamomyces_bovis	Wickerhamomyces_bovis
yHMPu5000035274_wickerhamomyces_alni_160928	yHMPu5000035274_Wickerhamomyces_alni	Wickerhamomyces_alni
alloascoidea_hylecoeti	Alloascoidea_hylecoeti	Alloascoidea_hylecoeti
yHMPu5000034950_citeromyces_hawaiiensis_160519	yHMPu5000034950_Citeromyces_hawaiiensis	Citeromyces_hawaiiensis
yHMPu5000034952_citeromyces_siamensis_160519	yHMPu5000034952_Citeromyces_siamensis	Citeromyces_siamensis
yHAB158_kazachstania_viticola_160519	yHAB158_Kazachstania_viticola	Kazachstania_viticola
yHMPu5000026142_citeromyces_matritensis_160519	yHMPu5000026142_Citeromyces_matritensis	Citeromyces_matritensis
yHMPu5000034710_kluyveromyces_dobzhanskii_160519	yHMPu5000034710_Kluyveromyces_dobzhanskii	Kluyveromyces_dobzhanskii
yHMPu5000034709_kluyveromyces_aestuarii_160519	yHMPu5000034709_Kluyveromyces_aestuarii	Kluyveromyces_aestuarii
nakaseomyces_bracarensis	Nakaseomyces_bracarensis	Candida_bracarensis
candida_glabrata	Candida_glabrata	Candida_glabrata
eremothecium_gossypii	Eremothecium_gossypii	Eremothecium_gossypii
ashbya_aceri	Ashbya_aceri	Ashbya_aceri
eremothecium_sinecaudum	Eremothecium_sinecaudum	Eremothecium_sinecaudum
eremothecium_cymbalariae	Eremothecium_cymbalariae	Eremothecium_cymbalariae
eremothecium_coryli	Eremothecium_coryli	Eremothecium_coryli
kazachstania_africana	Kazachstania_africana	Kazachstania_africana
kazachstania_naganishii	Kazachstania_naganishii	Kazachstania_naganishii
yHAB166_kazachstania_yakushimaensis_160519	yHAB166_Kazachstania_yakushimaensis	Kazachstania_yakushimaensis
kluyveromyces_lactis	Kluyveromyces_lactis	Kluyveromyces_lactis
kluyveromyces_marxianus	Kluyveromyces_marxianus	Kluyveromyces_marxianus
lachancea_fantastica	Lachancea_fantastica	Lachancea_fantastica_nom_nud
lachancea_meyersii	Lachancea_meyersii	Lachancea_meyersii
lachancea_nothofagi	Lachancea_nothofagi	Lachancea_nothofagi
lachancea_cidri	Lachancea_cidri	Lachancea_cidri
lachancea_thermotolerans	Lachancea_thermotolerans	Lachancea_thermotolerans
lachancea_mirantina	Lachancea_mirantina	Lachancea_mirantina
lachancea_dasiensis	Lachancea_dasiensis	Lachancea_dasiensis
lachancea_fermentati	Lachancea_fermentati	Lachancea_fermentati
lachancea_kluyveri	Lachancea_kluyveri	Lachancea_kluyveri
